Wall time,Step,Value
1762048122.7282057,0,22.01754379272461
1762048125.9640822,1,35.33098602294922
1762048129.2937615,2,42.54621887207031
1762048132.5580041,3,56.505619049072266
1762048135.8200517,4,61.0
1762048139.0821173,5,77.35384368896484
1762048142.3665943,6,75.90908813476562
1762048145.7441523,7,87.8448257446289
1762048149.2680733,8,88.5614013671875
1762048152.8640616,9,104.9375
1762048156.2198713,10,140.11111450195312
1762048159.442935,11,147.5294189453125
1762048162.912074,12,141.6666717529297
1762048166.2455566,13,180.2142791748047
1762048169.6337767,14,189.7142791748047
1762048173.0334117,15,250.5500030517578
1762048176.6043587,16,222.95652770996094
1762048179.9855578,17,195.1923065185547
1762048183.2665973,18,192.46153259277344
1762048186.7046616,19,238.42857360839844
1762048190.5041933,20,276.5789489746094
1762048193.9202933,21,398.0
1762048197.394591,22,426.8333435058594
1762048201.067882,23,495.2727355957031
1762048204.6389918,24,497.7272644042969
1762048208.2418306,25,499.18182373046875
1762048211.5530155,26,500.0
1762048214.8523934,27,500.0
1762048218.0166738,28,500.0
1762048221.247985,29,500.0
1762048224.5128524,30,500.0
1762048227.787307,31,500.0
1762048231.0759103,32,500.0
1762048234.355237,33,500.0
1762048237.78017,34,477.18182373046875
1762048241.0774918,35,500.0
1762048244.356161,36,500.0
1762048247.6088035,37,500.0
1762048251.0726836,38,488.18182373046875
1762048254.3939068,39,500.0
1762048257.6702416,40,500.0
1762048260.9678476,41,500.0
1762048264.2465324,42,500.0
1762048267.5547662,43,500.0
1762048271.1091976,44,500.0
1762048274.6426287,45,500.0
1762048277.9027898,46,500.0
1762048281.3166451,47,500.0
1762048284.7049608,48,500.0
1762048288.2213247,49,500.0
1762048291.4776945,50,500.0
1762048294.8976011,51,500.0
1762048298.42769,52,500.0
1762048301.7902763,53,500.0
1762048305.0621855,54,500.0
1762048308.6115096,55,500.0
1762048312.0886312,56,500.0
1762048315.467017,57,500.0
1762048318.821069,58,500.0
1762048322.1777897,59,500.0
1762048325.370107,60,500.0
1762048328.559307,61,465.81817626953125
1762048332.0885427,62,356.9333190917969
1762048335.3977602,63,311.4117736816406
1762048338.6785424,64,247.2857208251953
1762048341.8463511,65,218.6086883544922
1762048345.0465786,66,219.6521759033203
1762048348.3615916,67,249.09524536132812
1762048351.7729747,68,284.3333435058594
1762048355.205293,69,380.4285583496094
1762048358.410196,70,500.0
1762048361.5963652,71,500.0
1762048364.8805285,72,500.0
1762048368.1319983,73,500.0
1762048371.4143019,74,500.0
1762048375.0980642,75,489.18182373046875
1762048378.5678916,76,483.7272644042969
1762048382.126214,77,465.5454406738281
1762048385.326225,78,458.3636474609375
1762048389.1035776,79,432.9166564941406
1762048393.1415555,80,463.2727355957031
1762048396.6808352,81,457.0909118652344
1762048400.0062973,82,434.9166564941406
1762048403.8333066,83,422.6666564941406
1762048408.0121713,84,457.5833435058594
1762048411.2089367,85,455.0
1762048414.717362,86,499.9090881347656
1762048418.3101218,87,475.0
1762048422.0261924,88,497.81817626953125
1762048425.2742822,89,459.81817626953125
1762048429.0457654,90,468.4545593261719
1762048432.695744,91,490.9090881347656
1762048436.1526303,92,487.3636474609375
1762048439.6752346,93,474.3636474609375
1762048443.2079542,94,498.2727355957031
1762048446.4110794,95,500.0
1762048449.8683863,96,496.4545593261719
1762048453.0900962,97,500.0
1762048456.3201165,98,500.0
1762048459.4999306,99,500.0
